iter	Passed	Remaining
403	11397	16813
404	11427	16788
405	11453	16757
406	11480	16727
407	11506	16695
408	11532	16664
409	11560	16635
410	11589	16608
411	11621	16586
412	11654	16564
413	11682	16536
414	11713	16512
415	11740	16481
416	11768	16453
417	11795	16423
418	11820	16390
419	11847	16361
420	11872	16328
421	11897	16295
422	11922	16262
423	11947	16230
424	11972	16198
425	11999	16168
426	12027	16139
427	12056	16113
428	12083	16083
429	12109	16052
430	12137	16023
431	12164	15993
432	12186	15958
433	12214	15929
434	12239	15896
435	12269	15872
436	12299	15845
437	12324	15814
438	12353	15785
439	12379	15755
440	12405	15725
441	12433	15696
442	12461	15668
443	12487	15638
444	12516	15610
445	12549	15588
446	12582	15566
447	12616	15545
448	12650	15524
449	12680	15497
450	12710	15471
451	12741	15448
452	12771	15421
453	12798	15391
454	12827	15364
455	12856	15337
456	12885	15310
457	12914	15282
458	12943	15256
459	12971	15227
460	13001	15200
461	13029	15172
462	13057	15144
463	13083	15113
464	13109	15082
465	13137	15054
466	13167	15028
467	13198	15003
468	13222	14970
469	13248	14939
470	13272	14907
471	13295	14873
472	13320	14841
473	13344	14808
474	13367	14774
475	13391	14741
476	13416	14710
477	13440	14677
478	13465	14646
479	13488	14612
480	13512	14580
481	13538	14550
482	13564	14519
483	13592	14490
484	13619	14461
485	13647	14434
486	13672	14402
487	13699	14373
488	13730	14348
489	13762	14324
490	13794	14300
491	13825	14274
492	13858	14251
493	13887	14225
494	13918	14200
495	13946	14171
496	13973	14142
497	14000	14112
498	14025	14081
499	14057	14057
500	14083	14027
501	14108	13995
502	14133	13965
503	14160	13935
504	14185	13904
505	14209	13872
506	14234	13841
507	14257	13808
508	14312	13806
509	14345	13782
510	14369	13750
511	14395	13720
512	14418	13687
513	14445	13658
514	14470	13627
515	14494	13596
516	14517	13563
517	14544	13533
518	14568	13501
519	14597	13474
520	14625	13446
521	14656	13420
522	14683	13392
523	14708	13361
524	14734	13331
525	14760	13301
526	14788	13272
527	14814	13242
528	14839	13212
529	14865	13182
530	14891	13153
531	14918	13123
532	14944	13093
533	14970	13064
534	14998	13035
535	15023	13005
536	15048	12974
537	15074	12944
538	15100	12915
539	15123	12882
540	15148	12852
541	15176	12824
542	15203	12795
543	15232	12768
544	15258	12738
545	15283	12708
546	15310	12679
547	15336	12649
548	15362	12620
549	15390	12592
550	15417	12563
551	15445	12535
552	15473	12507
553	15499	12477
554	15525	12448
555	15551	12419
556	15580	12391
557	15608	12364
558	15635	12334
559	15664	12308
560	15693	12281
561	15719	12251
562	15744	12220
563	15837	12243
564	15872	12220
565	15899	12191
566	15924	12160
567	15950	12131
568	15976	12101
569	16001	12071
570	16029	12043
571	16055	12013
572	16083	11985
573	16114	11959
574	16140	11929
575	16164	11899
576	16193	11871
577	16218	11841
578	16246	11812
579	16271	11782
580	16297	11753
581	16326	11726
582	16353	11697
583	16379	11667
584	16407	11639
585	16435	11611
586	16461	11581
587	16487	11552
588	16514	11523
589	16542	11495
590	16572	11468
591	16602	11441
592	16633	11416
593	16660	11387
594	16685	11357
595	16711	11327
596	16739	11299
597	16765	11270
598	16791	11241
599	16818	11212
600	16846	11184
601	16871	11154
602	16899	11126
603	16924	11096
604	16951	11067
605	16976	11037
606	17003	11008
607	17029	10979
608	17055	10950
609	17081	10920
610	17107	10891
611	17132	10861
612	17160	10833
613	17188	10805
614	17246	10796
615	17279	10771
616	17303	10741
617	17329	10712
618	17354	10681
619	17384	10655
620	17410	10626
621	17436	10596
622	17464	10568
623	17491	10540
624	17516	10510
625	17542	10480
626	17573	10454
627	17603	10427
628	17633	10400
629	17662	10373
630	17691	10345
631	17724	10320
632	17756	10294
633	17787	10268
634	17818	10242
635	17851	10216
636	17882	10190
637	17911	10162
638	17940	10135
639	17969	10107
640	17996	10079
641	18025	10051
642	18054	10023
643	18080	9995
644	18108	9966
645	18135	9938
646	18163	9909
647	18195	9883
648	18224	9856
649	18252	9828
650	18280	9799
651	18303	9769
652	18328	9739
653	18353	9709
654	18378	9680
655	18403	9650
656	18427	9620
657	18454	9591
658	18477	9560
659	18502	9531
660	18525	9500
661	18552	9472
662	18578	9443
663	18600	9412
664	18624	9382
665	18647	9351
666	18673	9322
667	18700	9294
668	18726	9265
669	18752	9236
670	18778	9207
671	18803	9177
672	18827	9148
673	18852	9118
674	18884	9092
675	18917	9067
676	18948	9040
677	18976	9012
678	19007	8985
679	19038	8959
680	19065	8930
681	19091	8901
682	19120	8874
683	19146	8845
684	19171	8815
685	19196	8786
686	19221	8757
687	19248	8729
688	19272	8699
689	19297	8670
690	19325	8641
691	19354	8614
692	19379	8585
693	19404	8555
694	19430	8527
695	19454	8497
696	19478	8467
697	19504	8438
698	19528	8409
699	19559	8382
700	19601	8360
701	19631	8333
702	19661	8306
703	19685	8276
704	19710	8247
705	19737	8219
706	19763	8190
707	19791	8162
708	19817	8134
709	19843	8105
710	19869	8076
711	19896	8048
712	19922	8019
713	19948	7990
714	19972	7961
715	20001	7933
716	20029	7905
717	20055	7877
718	20081	7848
719	20108	7819
720	20133	7790
721	20160	7762
722	20186	7734
723	20212	7705
724	20239	7677
725	20267	7649
726	20293	7620
727	20322	7593
728	20348	7564
729	20373	7535
730	20401	7507
731	20426	7478
732	20455	7451
733	20482	7422
734	20508	7394
735	20538	7367
736	20568	7339
737	20594	7311
738	20620	7282
739	20648	7254
740	20677	7227
741	20704	7199
742	20729	7170
743	20756	7142
744	20783	7113
745	20809	7085
746	20834	7056
747	20860	7027
748	20888	6999
749	20915	6971
750	20941	6943
751	20967	6914
752	20994	6886
753	21021	6858
754	21047	6829
755	21071	6800
756	21099	6773
757	21128	6745
758	21154	6717
759	21181	6688
760	21209	6660
761	21233	6631
762	21258	6603
763	21284	6574
764	21311	6546
765	21341	6519
766	21368	6491
767	21394	6462
768	21422	6435
769	21450	6407
770	21475	6378
771	21501	6350
772	21538	6325
773	21568	6297
774	21596	6270
775	21624	6241
776	21647	6212
777	21674	6184
778	21699	6156
779	21725	6127
780	21753	6099
781	21780	6071
782	21808	6043
783	21834	6015
784	21861	5987
785	21888	5959
786	21914	5931
787	21941	5902
788	21967	5874
789	21997	5847
790	22030	5820
791	22056	5792
792	22083	5764
793	22109	5736
794	22135	5707
795	22161	5679
796	22188	5651
797	22216	5623
798	22243	5595
799	22270	5567
800	22297	5539
801	22324	5511
802	22350	5483
803	22375	5454
804	22400	5426
805	22429	5398
806	22454	5370
807	22481	5342
808	22507	5313
809	22535	5286
810	22562	5258
811	22588	5229
812	22615	5201
813	22642	5173
814	22670	5145
815	22695	5117
816	22721	5089
817	22753	5062
818	22786	5035
819	22811	5007
820	22842	4980
821	22879	4954
822	22905	4926
823	22931	4897
824	22958	4869
825	22983	4841
826	23010	4813
827	23034	4785
828	23061	4756
829	23090	4729
830	23115	4700
831	23142	4672
832	23168	4644
833	23195	4616
834	23221	4588
835	23246	4560
836	23272	4532
837	23303	4504
838	23330	4476
839	23354	4448
840	23380	4420
841	23407	4392
842	23434	4364
843	23461	4336
844	23490	4308
845	23521	4281
846	23551	4254
847	23579	4226
848	23607	4198
849	23634	4170
850	23661	4142
851	23687	4114
852	23716	4087
853	23742	4059
854	23768	4030
855	23794	4002
856	23821	3974
857	23849	3947
858	23877	3919
859	23908	3892
860	23971	3869
861	24009	3843
862	24038	3816
863	24068	3788
864	24097	3760
865	24127	3733
866	24156	3705
867	24186	3678
868	24215	3650
869	24245	3622
870	24273	3595
871	24301	3567
872	24332	3539
873	24362	3512
874	24391	3484
875	24420	3456
876	24450	3429
877	24485	3402
878	24514	3374
879	24541	3346
880	24576	3319
881	24604	3291
882	24628	3263
883	24652	3234
884	24677	3206
885	24702	3178
886	24726	3150
887	24750	3121
888	24774	3093
889	24799	3065
890	24823	3036
891	24852	3009
892	24878	2980
893	24904	2952
894	24930	2924
895	24956	2896
896	24979	2868
897	25005	2840
898	25030	2812
899	25057	2784
900	25085	2756
901	25116	2728
902	25146	2701
903	25177	2673
904	25205	2645
905	25233	2618
906	25262	2590
907	25292	2562
908	25322	2534
909	25358	2507
910	25390	2480
911	25417	2452
912	25442	2424
913	25469	2396
914	25496	2368
915	25526	2340
916	25554	2312
917	25578	2284
918	25602	2256
919	25628	2228
920	25651	2200
921	25678	2172
922	25706	2144
923	25733	2116
924	25759	2088
925	25784	2060
926	25811	2032
927	25836	2004
928	25863	1976
929	25889	1948
930	25917	1920
931	25943	1892
932	25964	1864
933	25991	1836
934	26018	1808
935	26044	1780
936	26071	1752
937	26097	1725
938	26126	1697
939	26155	1669
940	26182	1641
941	26208	1613
942	26233	1585
943	26258	1557
944	26285	1529
945	26312	1501
946	26340	1474
947	26366	1446
948	26393	1418
949	26419	1390
950	26444	1362
951	26472	1334
952	26536	1308
953	26568	1281
954	26594	1253
955	26621	1225
956	26647	1197
957	26672	1169
958	26698	1141
959	26725	1113
960	26751	1085
961	26778	1057
962	26803	1029
963	26829	1001
964	26856	974
965	26881	946
966	26909	918
967	26935	890
968	26967	862
969	26996	834
970	27022	807
971	27051	779
972	27077	751
973	27102	723
974	27129	695
975	27155	667
976	27183	639
977	27214	612
978	27242	584
979	27269	556
980	27296	528
981	27322	500
982	27349	472
983	27375	445
984	27404	417
985	27432	389
986	27467	361
987	27500	334
988	27528	306
989	27561	278
990	27595	250
991	27622	222
992	27647	194
993	27672	167
994	27699	139
995	27724	111
996	27750	83
997	27776	55
998	27803	27
999	27831	0
